sequence,block,target_tokens,request_started_at,request_completed_at
1,1,250000,2026-09-09T12:45:28.293990+00:00,2026-09-09T12:45:34.726390+00:00
2,1,300000,2026-09-09T12:45:34.737360+00:00,2026-09-09T12:45:42.999213+00:00
3,1,150000,2026-09-09T12:45:43.007283+00:00,2026-09-09T12:45:47.538582+00:00
4,1,550000,2026-09-09T12:45:47.554374+00:00,2026-09-09T12:46:02.817743+00:00
5,1,900000,2026-09-09T12:46:02.841655+00:00,2026-09-09T12:46:32.545725+00:00
6,1,50000,2026-09-09T12:46:32.551910+00:00,2026-09-09T12:46:35.579831+00:00
7,2,50000,2026-09-09T12:46:48.923362+00:00,2026-09-09T12:46:51.352274+00:00
8,2,250000,2026-09-09T12:46:52.382993+00:00,2026-09-09T12:47:01.296279+00:00
9,2,900000,2026-09-09T12:47:01.319889+00:00,2026-09-09T12:47:30.921365+00:00
10,2,150000,2026-09-09T12:47:30.929879+00:00,2026-09-09T12:47:36.458433+00:00
11,2,550000,2026-09-09T12:47:36.473854+00:00,2026-09-09T12:47:53.292362+00:00
12,2,300000,2026-09-09T12:47:53.303054+00:00,2026-09-09T12:48:02.133498+00:00
13,3,300000,2026-09-09T12:48:27.765646+00:00,2026-09-09T12:48:36.706723+00:00
14,3,900000,2026-09-09T12:48:36.730128+00:00,2026-09-09T12:49:06.967227+00:00
15,3,250000,2026-09-09T12:49:06.977358+00:00,2026-09-09T12:49:13.387635+00:00
16,3,550000,2026-09-09T12:49:13.403207+00:00,2026-09-09T12:49:29.624572+00:00
17,3,150000,2026-09-09T12:49:29.632688+00:00,2026-09-09T12:49:33.793459+00:00
18,3,50000,2026-09-09T12:49:33.800149+00:00,2026-09-09T12:49:35.711526+00:00
