"replicate","sampled_block_1","sampled_block_2","sampled_block_3","sampled_block_4","gamma","converged"
1,1,2,3,2,13.2720957796899,TRUE
2,2,2,2,4,16.239133165738,TRUE
3,4,4,4,1,11.38507525399,TRUE
4,2,1,3,2,13.2720957796899,TRUE
5,3,2,4,2,13.7218761112566,TRUE
6,3,2,4,2,13.7218761112566,TRUE
7,1,2,3,4,11.908702840395,TRUE
8,2,1,4,4,12.9707721952072,TRUE
9,1,1,4,3,9.29467274391155,TRUE
10,4,3,3,2,11.3922992598629,TRUE
11,4,3,4,3,10.1112473524048,TRUE
12,2,4,4,3,11.995798267223,TRUE
13,3,2,1,4,11.908702840395,TRUE
14,1,1,2,4,12.0184248028778,TRUE
15,4,1,2,3,11.908702840395,TRUE
16,3,2,2,3,13.814577954198,TRUE
17,4,2,1,3,11.908702840395,TRUE
18,2,4,4,3,11.995798267223,TRUE
19,4,4,4,4,11.3092937716999,TRUE
20,3,3,3,4,9.20163529453947,TRUE
21,2,4,2,1,14.0786914447518,TRUE
22,3,2,1,3,11.3423510080725,TRUE
23,4,3,1,4,10.5262975023564,TRUE
24,4,3,3,1,9.07354987657694,TRUE
25,4,2,3,4,11.995798267223,TRUE
26,2,3,1,1,11.2516146888505,TRUE
27,4,1,1,1,7.46103708324673,TRUE
28,4,3,4,3,10.1112473524048,TRUE
29,2,2,4,3,13.7218761112566,TRUE
30,3,3,1,1,9.16473825689039,TRUE
31,3,3,1,2,11.3423510080725,TRUE
32,2,1,2,2,16.3444141417995,TRUE
33,3,4,4,3,10.1112473524048,TRUE
34,1,3,2,2,13.2720957796899,TRUE
35,2,4,4,2,13.9875518233089,TRUE
36,2,4,1,2,14.0786914447518,TRUE
37,4,3,3,1,9.07354987657694,TRUE
38,3,1,4,1,9.29467274391153,TRUE
39,3,4,3,1,9.07354987657693,TRUE
40,1,1,3,3,9.16473825689039,TRUE
41,4,2,4,1,12.9707721952072,TRUE
42,1,1,2,1,11.0508818396864,TRUE
43,2,2,4,2,16.239133165738,TRUE
44,4,4,3,4,11.1130822934875,TRUE
45,3,2,1,4,11.908702840395,TRUE
46,2,2,4,2,16.239133165738,TRUE
47,3,2,3,4,11.3922992598629,TRUE
48,3,2,2,1,13.2720957796899,TRUE
49,4,4,4,2,12.2778853193945,TRUE
50,3,4,1,3,9.07354987657694,TRUE
51,3,4,3,1,9.07354987657693,TRUE
52,2,3,3,2,13.814577954198,TRUE
53,4,4,2,2,13.9875518233089,TRUE
54,1,1,2,2,13.4748797877801,TRUE
55,3,3,4,3,9.20163529453945,TRUE
56,4,4,1,1,10.5619698179754,TRUE
57,2,1,3,3,11.3423510080725,TRUE
58,4,3,2,3,11.3922992598629,TRUE
59,3,2,1,2,13.2720957796899,TRUE
60,4,1,1,2,12.0184248028778,TRUE
61,1,3,4,1,9.29467274391156,TRUE
62,2,3,4,1,11.908702840395,TRUE
63,2,4,4,2,13.9875518233089,TRUE
64,1,2,2,3,13.2720957796899,TRUE
65,1,4,2,2,14.0786914447518,TRUE
66,4,1,4,1,10.5619698179754,TRUE
67,1,2,1,2,13.4748797877801,TRUE
68,2,1,2,1,13.4748797877801,TRUE
69,1,2,4,3,11.908702840395,TRUE
70,1,2,1,4,12.0184248028778,TRUE
71,3,4,1,3,9.07354987657694,TRUE
72,3,2,1,3,11.3423510080725,TRUE
73,3,3,4,2,11.3922992598629,TRUE
74,3,3,3,1,8.61914983283701,TRUE
75,3,2,2,3,13.814577954198,TRUE
76,2,2,4,1,14.0786914447518,TRUE
77,2,3,2,2,15.8650164384111,TRUE
78,3,4,3,2,11.3922992598629,TRUE
79,4,3,4,2,11.995798267223,TRUE
80,3,3,4,1,9.07354987657694,TRUE
81,3,2,3,2,13.814577954198,TRUE
82,4,4,4,2,12.2778853193945,TRUE
83,3,2,3,1,11.3423510080725,TRUE
84,1,2,3,3,11.3423510080725,TRUE
85,4,3,4,1,10.5262975023564,TRUE
86,4,2,3,3,11.3922992598629,TRUE
87,1,1,1,1,9.62483956330302,TRUE
88,4,1,3,3,9.07354987657695,TRUE
89,3,1,4,4,10.5262975023564,TRUE
90,4,4,3,4,11.1130822934875,TRUE
91,2,4,4,2,13.9875518233089,TRUE
92,1,3,1,2,11.2516146888505,TRUE
93,3,4,3,3,9.20163529453946,TRUE
94,1,1,3,1,9.55066798785901,TRUE
95,3,3,4,1,9.07354987657694,TRUE
96,4,2,4,4,12.2778853193945,TRUE
97,2,4,3,2,13.7218761112566,TRUE
98,2,4,3,3,11.3922992598629,TRUE
99,3,1,2,3,11.3423510080725,TRUE
100,3,3,3,3,8.64444087740625,TRUE
101,3,1,3,4,9.07354987657692,TRUE
102,1,4,1,4,10.5619698179754,TRUE
103,1,3,1,2,11.2516146888505,TRUE
104,3,3,2,3,10.7220612726016,TRUE
105,2,2,3,4,13.7218761112566,TRUE
106,2,4,2,2,16.2391331657379,TRUE
107,4,1,2,3,11.908702840395,TRUE
108,4,3,4,1,10.5262975023564,TRUE
109,1,2,1,4,12.0184248028778,TRUE
110,2,3,4,3,11.3922992598629,TRUE
111,1,3,4,1,9.29467274391156,TRUE
112,2,1,3,1,11.2516146888505,TRUE
113,4,2,1,4,12.9707721952072,TRUE
114,2,1,1,2,13.4748797877801,TRUE
115,4,3,4,3,10.1112473524048,TRUE
116,1,2,3,4,11.908702840395,TRUE
117,2,3,2,3,13.814577954198,TRUE
118,3,1,4,3,9.07354987657693,TRUE
119,1,3,4,2,11.908702840395,TRUE
120,3,4,2,3,11.3922992598629,TRUE
121,3,4,1,1,9.29467274391154,TRUE
122,1,4,3,2,11.908702840395,TRUE
123,1,2,1,4,12.0184248028778,TRUE
124,4,4,4,1,11.38507525399,TRUE
125,1,2,3,4,11.908702840395,TRUE
126,4,3,4,1,10.5262975023564,TRUE
127,4,2,2,4,13.9875518233089,TRUE
128,1,2,3,3,11.3423510080725,TRUE
129,2,3,2,2,15.8650164384111,TRUE
130,4,3,4,3,10.1112473524048,TRUE
131,1,4,4,1,10.5619698179754,TRUE
132,3,1,1,2,11.2516146888505,TRUE
133,3,1,4,3,9.07354987657693,TRUE
134,3,4,1,2,11.908702840395,TRUE
135,1,1,3,2,11.2516146888505,TRUE
136,1,1,4,4,10.5619698179754,TRUE
137,4,2,1,1,12.0184248028778,TRUE
138,4,1,1,4,10.5619698179754,TRUE
139,3,3,2,3,10.7220612726016,TRUE
140,2,2,4,4,13.9875518233089,TRUE
141,2,2,4,4,13.9875518233089,TRUE
142,4,1,1,1,7.46103708324673,TRUE
143,2,2,1,2,16.3444141417995,TRUE
144,1,2,4,4,12.9707721952072,TRUE
145,1,1,1,4,7.46103708324671,TRUE
146,4,1,1,2,12.0184248028778,TRUE
147,1,2,2,3,13.2720957796899,TRUE
148,3,1,4,4,10.5262975023564,TRUE
149,4,3,2,1,11.9087028403949,TRUE
150,1,3,2,2,13.2720957796899,TRUE
151,2,2,4,1,14.0786914447518,TRUE
152,1,3,2,1,11.2516146888505,TRUE
153,4,3,1,3,9.07354987657696,TRUE
154,3,3,3,2,10.7220612726016,TRUE
155,2,2,1,3,13.2720957796899,TRUE
156,2,1,1,3,11.2516146888505,TRUE
157,4,2,4,4,12.2778853193945,TRUE
158,2,1,1,1,11.0508818396865,TRUE
159,1,1,4,2,12.0184248028778,TRUE
160,4,4,4,2,12.2778853193945,TRUE
161,1,2,4,3,11.908702840395,TRUE
162,4,1,2,3,11.908702840395,TRUE
163,4,3,1,3,9.07354987657696,TRUE
164,3,2,3,3,10.7220612726016,TRUE
165,2,2,1,3,13.2720957796899,TRUE
166,1,3,2,3,11.3423510080725,TRUE
167,2,1,4,1,12.0184248028778,TRUE
168,4,2,1,4,12.9707721952072,TRUE
169,3,1,2,1,11.2516146888505,TRUE
170,4,4,4,3,11.1130822934875,TRUE
171,1,2,2,4,14.0786914447518,TRUE
172,3,2,3,3,10.7220612726016,TRUE
173,2,1,2,3,13.2720957796899,TRUE
174,2,4,2,2,16.2391331657379,TRUE
175,1,2,3,2,13.2720957796899,TRUE
176,3,4,1,3,9.07354987657694,TRUE
177,3,2,3,1,11.3423510080725,TRUE
178,4,2,2,2,16.2391331657379,TRUE
179,1,2,1,3,11.2516146888505,TRUE
180,1,3,3,4,9.07354987657696,TRUE
181,1,2,1,3,11.2516146888505,TRUE
182,2,4,4,2,13.9875518233089,TRUE
