"model","session","block","target_tokens","total_input_tokens","x","y","request_started_at","request_completed_at","new_input_tokens","cache_read_tokens","cache_write_tokens","output_tokens","reasoning_tokens"
"GPT-6 Astra","20260909T123307Z-1c49feec","20260909T123307Z-1c49feec.jsonl:0",250000,249998,0.249998,8.534950291,"2026-09-09T12:35:17.544669+00:00","2026-09-09T12:35:26.597704+00:00",247947,2051,0,5,0
"GPT-6 Astra","20260909T123307Z-1c49feec","20260909T123307Z-1c49feec.jsonl:0",300000,299998,0.299998,9.774901045,"2026-09-09T12:35:26.608882+00:00","2026-09-09T12:35:36.850108+00:00",297947,2051,0,5,0
"GPT-6 Astra","20260909T123307Z-1c49feec","20260909T123307Z-1c49feec.jsonl:0",900000,899998,0.899998,28.887635699,"2026-09-09T12:35:36.873791+00:00","2026-09-09T12:36:06.120967+00:00",897947,2051,0,5,0
"GPT-6 Astra","20260909T123307Z-1c49feec","20260909T123307Z-1c49feec.jsonl:0",150000,149998,0.149998,6.343194704,"2026-09-09T12:36:06.129082+00:00","2026-09-09T12:36:12.898924+00:00",147947,2051,0,5,0
"GPT-6 Astra","20260909T123307Z-1c49feec","20260909T123307Z-1c49feec.jsonl:0",550000,549998,0.549998,16.199482509,"2026-09-09T12:36:12.914641+00:00","2026-09-09T12:36:28.815182+00:00",547947,2051,0,5,0
"GPT-6 Astra","20260909T123307Z-1c49feec","20260909T123307Z-1c49feec.jsonl:0",50000,49998,0.049998,3.158725026,"2026-09-09T12:36:28.821807+00:00","2026-09-09T12:36:32.171910+00:00",47947,2051,0,5,0
"GPT-6 Astra","20260909T124315Z-c70b34b7","20260909T124315Z-c70b34b7.jsonl:0",250000,249998,0.249998,6.093024374,"2026-09-09T12:45:28.293990+00:00","2026-09-09T12:45:34.726390+00:00",247947,2051,0,5,0
"GPT-6 Astra","20260909T124315Z-c70b34b7","20260909T124315Z-c70b34b7.jsonl:0",300000,299998,0.299998,7.989095439,"2026-09-09T12:45:34.737360+00:00","2026-09-09T12:45:42.999213+00:00",297947,2051,0,5,0
"GPT-6 Astra","20260909T124315Z-c70b34b7","20260909T124315Z-c70b34b7.jsonl:0",150000,149998,0.149998,4.182910756,"2026-09-09T12:45:43.007283+00:00","2026-09-09T12:45:47.538582+00:00",147947,2051,0,5,0
"GPT-6 Astra","20260909T124315Z-c70b34b7","20260909T124315Z-c70b34b7.jsonl:0",550000,549998,0.549998,15.384806726,"2026-09-09T12:45:47.554374+00:00","2026-09-09T12:46:02.817743+00:00",547947,2051,0,5,0
"GPT-6 Astra","20260909T124315Z-c70b34b7","20260909T124315Z-c70b34b7.jsonl:0",900000,899998,0.899998,29.11615118,"2026-09-09T12:46:02.841655+00:00","2026-09-09T12:46:32.545725+00:00",897947,2051,0,5,0
"GPT-6 Astra","20260909T124315Z-c70b34b7","20260909T124315Z-c70b34b7.jsonl:0",50000,49998,0.049998,2.767830456,"2026-09-09T12:46:32.551910+00:00","2026-09-09T12:46:35.579831+00:00",47947,2051,0,5,0
"GPT-6 Astra","20260909T124315Z-c70b34b7","20260909T124315Z-c70b34b7.jsonl:1",50000,49998,0.049998,2.216751809,"2026-09-09T12:46:48.923362+00:00","2026-09-09T12:46:51.352274+00:00",47947,2051,0,5,0
"GPT-6 Astra","20260909T124315Z-c70b34b7","20260909T124315Z-c70b34b7.jsonl:1",250000,249998,0.249998,8.538688537,"2026-09-09T12:46:52.382993+00:00","2026-09-09T12:47:01.296279+00:00",247947,2051,0,5,0
"GPT-6 Astra","20260909T124315Z-c70b34b7","20260909T124315Z-c70b34b7.jsonl:1",900000,899998,0.899998,29.390264387,"2026-09-09T12:47:01.319889+00:00","2026-09-09T12:47:30.921365+00:00",897947,2051,0,5,0
"GPT-6 Astra","20260909T124315Z-c70b34b7","20260909T124315Z-c70b34b7.jsonl:1",150000,149998,0.149998,5.344434468,"2026-09-09T12:47:30.929879+00:00","2026-09-09T12:47:36.458433+00:00",147947,2051,0,5,0
"GPT-6 Astra","20260909T124315Z-c70b34b7","20260909T124315Z-c70b34b7.jsonl:1",550000,549998,0.549998,16.344078661,"2026-09-09T12:47:36.473854+00:00","2026-09-09T12:47:53.292362+00:00",547947,2051,0,5,0
"GPT-6 Astra","20260909T124315Z-c70b34b7","20260909T124315Z-c70b34b7.jsonl:1",300000,299998,0.299998,8.995279709,"2026-09-09T12:47:53.303054+00:00","2026-09-09T12:48:02.133498+00:00",297947,2051,0,5,0
"GPT-6 Astra","20260909T124315Z-c70b34b7","20260909T124315Z-c70b34b7.jsonl:2",300000,299998,0.299998,8.530020397,"2026-09-09T12:48:27.765646+00:00","2026-09-09T12:48:36.706723+00:00",297947,2051,0,5,0
"GPT-6 Astra","20260909T124315Z-c70b34b7","20260909T124315Z-c70b34b7.jsonl:2",900000,899998,0.899998,29.707491716,"2026-09-09T12:48:36.730128+00:00","2026-09-09T12:49:06.967227+00:00",897947,2051,0,5,0
"GPT-6 Astra","20260909T124315Z-c70b34b7","20260909T124315Z-c70b34b7.jsonl:2",250000,249998,0.249998,6.241185075,"2026-09-09T12:49:06.977358+00:00","2026-09-09T12:49:13.387635+00:00",247947,2051,0,5,0
"GPT-6 Astra","20260909T124315Z-c70b34b7","20260909T124315Z-c70b34b7.jsonl:2",550000,549998,0.549998,16.232691638,"2026-09-09T12:49:13.403207+00:00","2026-09-09T12:49:29.624572+00:00",547947,2051,0,5,0
"GPT-6 Astra","20260909T124315Z-c70b34b7","20260909T124315Z-c70b34b7.jsonl:2",150000,149998,0.149998,3.873633591,"2026-09-09T12:49:29.632688+00:00","2026-09-09T12:49:33.793459+00:00",147947,2051,0,5,0
"GPT-6 Astra","20260909T124315Z-c70b34b7","20260909T124315Z-c70b34b7.jsonl:2",50000,49998,0.049998,1.78666089,"2026-09-09T12:49:33.800149+00:00","2026-09-09T12:49:35.711526+00:00",47947,2051,0,5,0
