"model","estimator","iteration","gamma","any_parameter_boundary"
"GPT-5.6 Terra","Stochastic frontier",1,7.18356328917256,FALSE
"GPT-5.6 Terra","Stochastic frontier",2,6.65720486205064,FALSE
"GPT-5.6 Terra","Stochastic frontier",3,7.52310507791794,FALSE
"GPT-5.6 Terra","Stochastic frontier",4,7.26870404856865,FALSE
"GPT-5.6 Terra","Stochastic frontier",5,7.06806931127244,FALSE
"GPT-5.6 Terra","Stochastic frontier",6,6.93012844333427,FALSE
"GPT-5.6 Terra","Stochastic frontier",7,7.47707765217285,FALSE
"GPT-5.6 Terra","Stochastic frontier",8,8.06719621663667,FALSE
"GPT-5.6 Terra","Stochastic frontier",9,7.35963652742088,FALSE
"GPT-5.6 Terra","Stochastic frontier",10,8.19964310541621,FALSE
"GPT-5.6 Terra","Stochastic frontier",11,7.42679559572164,FALSE
"GPT-5.6 Terra","Stochastic frontier",12,7.1574429814365,FALSE
"GPT-5.6 Terra","Stochastic frontier",13,8.64114701375672,FALSE
"GPT-5.6 Terra","Stochastic frontier",14,7.19498621818125,FALSE
"GPT-5.6 Terra","Stochastic frontier",15,8.15207706078927,FALSE
"GPT-5.6 Terra","Stochastic frontier",16,7.29580716898876,FALSE
"GPT-5.6 Terra","Stochastic frontier",17,7.57088986612798,FALSE
"GPT-5.6 Terra","Stochastic frontier",18,7.45432105629907,FALSE
"GPT-5.6 Terra","Stochastic frontier",19,7.56571534455445,FALSE
"GPT-5.6 Terra","Stochastic frontier",20,7.61042865735074,FALSE
"GPT-5.6 Terra","Stochastic frontier",21,7.85424421985089,FALSE
"GPT-5.6 Terra","Stochastic frontier",22,7.27436216617813,FALSE
"GPT-5.6 Terra","Stochastic frontier",23,6.68359737940831,TRUE
"GPT-5.6 Terra","Stochastic frontier",24,7.76778210924851,FALSE
"GPT-5.6 Terra","Stochastic frontier",25,6.93883463878969,FALSE
"GPT-5.6 Terra","Stochastic frontier",26,7.08368815471773,FALSE
"GPT-5.6 Terra","Stochastic frontier",27,7.80944505388871,FALSE
"GPT-5.6 Terra","Stochastic frontier",28,7.77522003796558,FALSE
"GPT-5.6 Terra","Stochastic frontier",29,7.16631901940527,TRUE
"GPT-5.6 Terra","Stochastic frontier",30,7.15155869049856,FALSE
"GPT-5.6 Terra","Stochastic frontier",31,8.2067816703324,FALSE
"GPT-5.6 Terra","Stochastic frontier",32,7.44184528017933,FALSE
"GPT-5.6 Terra","Stochastic frontier",33,7.29143851178722,FALSE
"GPT-5.6 Terra","Stochastic frontier",34,7.32649565373278,FALSE
"GPT-5.6 Terra","Stochastic frontier",35,7.14561172082999,FALSE
"GPT-5.6 Terra","Stochastic frontier",36,7.57921515986015,FALSE
"GPT-5.6 Terra","Stochastic frontier",37,7.70151051913408,FALSE
"GPT-5.6 Terra","Stochastic frontier",38,8.29269735572517,FALSE
"GPT-5.6 Terra","Stochastic frontier",39,6.88449690271734,FALSE
"GPT-5.6 Terra","Stochastic frontier",40,7.4469615487132,FALSE
"GPT-5.6 Terra","Stochastic frontier",41,7.55178860674223,FALSE
"GPT-5.6 Terra","Stochastic frontier",42,7.44974607966415,FALSE
"GPT-5.6 Terra","Stochastic frontier",43,7.85150459102509,FALSE
"GPT-5.6 Terra","Stochastic frontier",44,7.11130843106542,FALSE
"GPT-5.6 Terra","Stochastic frontier",45,6.76224110152626,FALSE
"GPT-5.6 Terra","Stochastic frontier",46,7.55371633958944,FALSE
"GPT-5.6 Terra","Stochastic frontier",47,7.48141514438257,FALSE
"GPT-5.6 Terra","Stochastic frontier",48,7.33118956200072,FALSE
"GPT-5.6 Terra","Stochastic frontier",49,7.56323821656045,FALSE
"GPT-5.6 Terra","Stochastic frontier",50,8.06280926537178,FALSE
"GPT-5.6 Terra","Stochastic frontier",51,7.86709442601468,FALSE
"GPT-5.6 Terra","Stochastic frontier",52,7.19849202846038,FALSE
"GPT-5.6 Terra","Stochastic frontier",53,7.94728067471845,FALSE
"GPT-5.6 Terra","Stochastic frontier",54,7.11502186371583,FALSE
"GPT-5.6 Terra","Stochastic frontier",55,8.40321892763556,FALSE
"GPT-5.6 Terra","Stochastic frontier",56,6.90403947527815,FALSE
"GPT-5.6 Terra","Stochastic frontier",57,6.67261939358643,FALSE
"GPT-5.6 Terra","Stochastic frontier",58,8.07629134264238,FALSE
"GPT-5.6 Terra","Stochastic frontier",59,6.89163793577961,FALSE
"GPT-5.6 Terra","Stochastic frontier",60,7.45571810876624,FALSE
"GPT-5.6 Terra","Stochastic frontier",61,6.64820743283408,FALSE
"GPT-5.6 Terra","Stochastic frontier",62,7.28426751062432,FALSE
