"model","estimator","sigma_multiplier","sigma","alpha","beta","gamma","lambda","contention_probability","mean_contention_delay_seconds","log_likelihood","nll","gamma_zero_boundary","any_parameter_boundary"
"GPT-5.6 Terra","Stochastic frontier",0.5,0.114931569648939,0.372910716765701,5.89177714072821,7.31525559386358,2.22021630947765,1,0.450406564320424,-29.0436641446083,29.0436641446083,FALSE,FALSE
"GPT-5.6 Terra","Stochastic frontier",1,0.229863139297879,0.384366816282159,5.78201466854266,7.57935531131049,2.35811534684174,1,0.424067466139566,-35.7098514835679,35.7098514835679,FALSE,FALSE
"GPT-5.6 Terra","Stochastic frontier",2,0.459726278595758,0.406639926246419,5.58934367001216,7.87357803799719,2.4293585211034,1,0.411631297444646,-52.665500402133,52.665500402133,FALSE,FALSE
"GPT-5.6 Terra","Spike + contention",0.5,0.114931569648939,0.506925154884373,6.01784830605027,7.15164903139904,1.52259757161197,0.462555144418017,0.656772359712424,-25.0792248536779,25.0792248536779,FALSE,FALSE
"GPT-5.6 Terra","Spike + contention",1,0.229863139297879,0.621883688810983,5.66875070404015,7.76091475921591,0.790160346305244,0.150541756385702,1.26556591288839,-23.9016240317038,23.9016240317038,FALSE,FALSE
"GPT-5.6 Terra","Spike + contention",2,0.459726278595758,0.6447542075207,5.93746004390064,7.42522964424908,0.553834554824942,0.0764936853497726,1.80559336951463,-42.3594563349459,42.3594563349459,FALSE,FALSE
"GPT-5.6 Sol","Stochastic frontier",0.5,0.165109143066014,0.327172392647103,11.3769654357984,10.6417887455126,2.22156493145704,1,0.450133140760436,-13.0399893848558,13.0399893848558,FALSE,FALSE
"GPT-5.6 Sol","Stochastic frontier",1,0.330218286132028,0.365913941004754,11.403527207433,10.5150312535429,2.34109155681363,1,0.42715117103795,-18.4638023567059,18.4638023567059,FALSE,FALSE
"GPT-5.6 Sol","Stochastic frontier",2,0.660436572264056,0.635060245195124,10.9365596629554,10.7251395552698,3.52807884822316,1,0.283440377332731,-26.7021913523085,26.7021913523085,FALSE,FALSE
"GPT-5.6 Sol","Spike + contention",0.5,0.165109143066014,0.511813778863563,11.1985668070037,10.8752432032688,1.27435868073513,0.360477488715856,0.784708430300908,-9.72982001010198,9.72982001010198,FALSE,FALSE
"GPT-5.6 Sol","Spike + contention",1,0.330218286132028,0.52316968062397,11.8297812873809,10.1697180829468,0.833052925441708,0.154944208236985,1.20040392327987,-14.6739314986812,14.6739314986812,FALSE,FALSE
"GPT-5.6 Sol","Spike + contention",2,0.660436572264056,0.771744668170345,11.0941617074568,10.7010432600049,0.670968588717067,0.0638036223759941,1.49038273447653,-25.125290063681,25.125290063681,FALSE,FALSE
"Claude Sonnet 5","Stochastic frontier",0.5,0.138856199314675,0.29267478320108,12.3107757851853,0.164714062181254,2.0775144257078,1,0.481344431415586,-55.2598281272139,55.2598281272139,FALSE,FALSE
"Claude Sonnet 5","Stochastic frontier",1,0.27771239862935,0.252411271959282,12.7341884080548,0,2.53521226358529,1,0.394444289483597,-62.6650012946589,62.6650012946589,TRUE,TRUE
"Claude Sonnet 5","Stochastic frontier",2,0.5554247972587,0.262359778754978,12.8423980273775,0.17356364499491,3.330997767409,1,0.300210348317899,-84.6843802177408,84.6843802177408,FALSE,FALSE
"Claude Sonnet 5","Spike + contention",0.5,0.138856199314675,0.433961001929887,12.2212063119193,0.196206928599433,1.73740915179092,0.638958024392775,0.575569663006091,-53.2940577279556,53.2940577279556,FALSE,FALSE
"Claude Sonnet 5","Spike + contention",1,0.27771239862935,0.491225140346504,12.6559884862844,0,1.4027190048845,0.261498384934546,0.712901155910654,-57.6600637661387,57.6600637661387,TRUE,TRUE
"Claude Sonnet 5","Spike + contention",2,0.5554247972587,0.513717204235427,12.9610380708666,0,0.284089157240366,0.0124469677080683,3.52002170626282,-73.0741824846283,73.0741824846283,TRUE,TRUE
"Claude Opus 5","Stochastic frontier",0.5,0.64178833039668,0.488073876345565,18.0882499693206,3.54786151577237,0.493136923494675,1,2.0278343647711,-92.5807374808938,92.5807374808938,FALSE,FALSE
"Claude Opus 5","Stochastic frontier",1,1.28357666079336,0.395179025881158,21.0514313669516,0.597781503935594,0.601551011715474,1,1.66236940928459,-97.5192325579967,97.5192325579967,FALSE,FALSE
"Claude Opus 5","Stochastic frontier",2,2.56715332158672,1.85264717761734,21.8096808514548,0,20,1,0.05,-104.129212150925,104.129212150925,TRUE,TRUE
"Claude Opus 5","Spike + contention",0.5,0.64178833039668,1.37534870167398,15.4511464090138,6.38286338736151,0.330777441541631,0.495549254844386,3.02318076873493,-89.3974739844929,89.3974739844929,FALSE,FALSE
"Claude Opus 5","Spike + contention",1,1.28357666079336,1.1172129262983,20.8153611917452,0.778165472677883,0.440393188846358,0.43599990142775,2.27069815184829,-96.638666938007,96.638666938007,FALSE,FALSE
"Claude Opus 5","Spike + contention",2,2.56715332158672,1.90236017065883,21.8096547306953,0,20,0.005,0.05,-104.125794693052,104.125794693052,TRUE,TRUE
