"model","estimator","requested","successful","gamma_q025","gamma_median","gamma_q975","fraction_gamma_positive","fraction_gamma_zero","fraction_any_parameter_boundary","gamma_constraint"
"GPT-5.6 Terra","Huber quadratic refit",5000,5000,6.82096809237826,8.12272597489504,9.12100942949387,1,NA,NA,"unconstrained"
"GPT-5.6 Sol","Huber quadratic refit",5000,5000,8.97215729865538,10.3837005032773,13.0368732413863,1,NA,NA,"unconstrained"
"Claude Sonnet 5","Huber quadratic refit",5000,5000,-1.22270759143132,0.021963087190913,1.29240743187527,0.513,NA,NA,"unconstrained"
"Claude Opus 5","Huber quadratic refit",5000,5000,-6.29689948017041,0.791483906311011,9.6988174725117,0.555,NA,NA,"unconstrained"
"GPT-5.6 Terra","Stochastic frontier",200,200,6.6481508052486,7.42708302513033,8.54846262369815,1,0,0.02,"gamma >= 0"
"GPT-5.6 Terra","Spike + contention",200,200,6.26839639718126,7.67781117669234,8.85029892730253,1,0,0.005,"gamma >= 0"
"GPT-5.6 Sol","Stochastic frontier",200,200,9.34043514946553,10.5685761126606,12.6436210971357,1,0,0.03,"gamma >= 0"
"GPT-5.6 Sol","Spike + contention",200,200,9.31309689265782,10.3200171045314,11.0292063336578,1,0,0.025,"gamma >= 0"
"Claude Sonnet 5","Stochastic frontier",200,200,0,0.010955017031796,0.92810225374885,0.51,0.49,0.49,"gamma >= 0"
"Claude Sonnet 5","Spike + contention",200,200,0,0,1.03368381694656,0.39,0.61,0.65,"gamma >= 0"
"Claude Opus 5","Stochastic frontier",200,200,0,0.755094058900643,8.33216491589698,0.555,0.445,0.455,"gamma >= 0"
"Claude Opus 5","Spike + contention",200,200,0,0.777657609125043,8.24217689007782,0.545,0.455,0.465,"gamma >= 0"
