"model","estimator","block","effect_seconds","coefficient_status"
"GPT-5.6 Terra","Student-t degree 1","1",0.0341833220473882,"explicit sum-contrast coefficient"
"GPT-5.6 Terra","Student-t degree 1","2",-0.171427699622624,"explicit sum-contrast coefficient"
"GPT-5.6 Terra","Student-t degree 1","3",0.209445336723455,"explicit sum-contrast coefficient"
"GPT-5.6 Terra","Student-t degree 1","4",0.0343581894124989,"explicit sum-contrast coefficient"
"GPT-5.6 Terra","Student-t degree 1","5",0.0206458396738779,"explicit sum-contrast coefficient"
"GPT-5.6 Terra","Student-t degree 1","6",-0.122005978893037,"explicit sum-contrast coefficient"
"GPT-5.6 Terra","Student-t degree 1","7",0.0517063671009711,"explicit sum-contrast coefficient"
"GPT-5.6 Terra","Student-t degree 1","8",-0.0569053764425301,"implied as negative sum of explicit effects"
"GPT-5.6 Terra","Student-t degree 2","1",-0.0581912618672565,"explicit sum-contrast coefficient"
"GPT-5.6 Terra","Student-t degree 2","2",-0.0999606106998105,"explicit sum-contrast coefficient"
"GPT-5.6 Terra","Student-t degree 2","3",0.255229141598442,"explicit sum-contrast coefficient"
"GPT-5.6 Terra","Student-t degree 2","4",-0.107572986309113,"explicit sum-contrast coefficient"
"GPT-5.6 Terra","Student-t degree 2","5",0.0651173156282688,"explicit sum-contrast coefficient"
"GPT-5.6 Terra","Student-t degree 2","6",-0.0470025892830345,"explicit sum-contrast coefficient"
"GPT-5.6 Terra","Student-t degree 2","7",-0.0215208609601678,"explicit sum-contrast coefficient"
"GPT-5.6 Terra","Student-t degree 2","8",0.0139018518926711,"implied as negative sum of explicit effects"
"GPT-5.6 Sol","Student-t degree 1","1",-0.417324787894968,"explicit sum-contrast coefficient"
"GPT-5.6 Sol","Student-t degree 1","2",-0.208799775831239,"explicit sum-contrast coefficient"
"GPT-5.6 Sol","Student-t degree 1","3",0.335083363241948,"explicit sum-contrast coefficient"
"GPT-5.6 Sol","Student-t degree 1","4",-0.10705232784541,"explicit sum-contrast coefficient"
"GPT-5.6 Sol","Student-t degree 1","5",0.398093528329669,"implied as negative sum of explicit effects"
"GPT-5.6 Sol","Student-t degree 2","1",-0.24366844720587,"explicit sum-contrast coefficient"
"GPT-5.6 Sol","Student-t degree 2","2",-0.152841521447675,"explicit sum-contrast coefficient"
"GPT-5.6 Sol","Student-t degree 2","3",0.179685638213525,"explicit sum-contrast coefficient"
"GPT-5.6 Sol","Student-t degree 2","4",-0.01925749566244,"explicit sum-contrast coefficient"
"GPT-5.6 Sol","Student-t degree 2","5",0.23608182610246,"implied as negative sum of explicit effects"
"Claude Sonnet 5","Student-t degree 1","1",-0.0409412908597607,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Student-t degree 1","2",0.13344876353167,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Student-t degree 1","3",-0.131515001023327,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Student-t degree 1","4",-0.0845274684629731,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Student-t degree 1","5",0.40080698043562,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Student-t degree 1","6",0.039114711799016,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Student-t degree 1","7",-0.0562148588672882,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Student-t degree 1","8",-0.079404526984807,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Student-t degree 1","9",-0.0549564925567159,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Student-t degree 1","10",0.00396031102354756,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Student-t degree 1","11",0.150954599890643,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Student-t degree 1","12",-0.125196502076863,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Student-t degree 1","13",-0.188652196028074,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Student-t degree 1","14",0.0331229701793122,"implied as negative sum of explicit effects"
"Claude Sonnet 5","Student-t degree 2","1",-0.0421880221201822,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Student-t degree 2","2",0.133437159468123,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Student-t degree 2","3",-0.130992111933666,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Student-t degree 2","4",-0.0801631794652408,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Student-t degree 2","5",0.407632265030429,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Student-t degree 2","6",0.0370186970971363,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Student-t degree 2","7",-0.0577267015357908,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Student-t degree 2","8",-0.0805781295034837,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Student-t degree 2","9",-0.059713975063017,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Student-t degree 2","10",0.00133049436787152,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Student-t degree 2","11",0.147077415101147,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Student-t degree 2","12",-0.122731778411126,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Student-t degree 2","13",-0.186690195248942,"explicit sum-contrast coefficient"
"Claude Sonnet 5","Student-t degree 2","14",0.0342880622167425,"implied as negative sum of explicit effects"
"Claude Opus 5","Student-t degree 1","1",0.615474395954663,"explicit sum-contrast coefficient"
"Claude Opus 5","Student-t degree 1","2",-0.165418975821227,"explicit sum-contrast coefficient"
"Claude Opus 5","Student-t degree 1","3",-0.974457667828092,"explicit sum-contrast coefficient"
"Claude Opus 5","Student-t degree 1","4",1.77575419889987,"explicit sum-contrast coefficient"
"Claude Opus 5","Student-t degree 1","5",-0.124029937253232,"explicit sum-contrast coefficient"
"Claude Opus 5","Student-t degree 1","6",-1.12732201395198,"implied as negative sum of explicit effects"
