"model","estimator","degree","alpha","beta","gamma","sigma","df","lambda","contention_probability","mean_contention_delay_seconds","log_likelihood","nll","aicc","convergence","gamma_zero_boundary","any_parameter_boundary"
"GPT-5.6 Terra","Student-t",1,-0.277441597575468,12.6392292167747,0,0.50997486035111,4,NA,NA,NA,-74.4547946810192,74.4547946810192,172.516146739088,0,FALSE,FALSE
"GPT-5.6 Terra","Student-t",2,0.650893516967782,5.54257364645402,8.02646096536283,0.23288452118613,4,NA,NA,NA,-35.3063082951718,35.3063082951718,97.0126165903436,0,FALSE,FALSE
"GPT-5.6 Sol","Student-t",1,-0.777487233987506,21.2690863647681,0,0.692964502647468,4,NA,NA,NA,-38.6183746099002,38.6183746099002,96.3276583107096,0,FALSE,FALSE
"GPT-5.6 Sol","Student-t",2,0.593894746533684,11.5657043572341,10.415900440701,0.282793387703336,4,NA,NA,NA,-18.0909577450025,18.0909577450025,59.0390583471478,0,FALSE,FALSE
"Claude Sonnet 5","Student-t",1,0.489007695933237,12.9375848309016,0,0.304431977848588,4,NA,NA,NA,-61.7758533378969,61.7758533378969,161.278022465267,0,FALSE,FALSE
"Claude Sonnet 5","Student-t",2,0.466548611266399,13.1184645251258,-0.20582264355797,0.303899480860015,4,NA,NA,NA,-61.7070943038001,61.7070943038001,163.924826905473,0,FALSE,FALSE
"Claude Opus 5","Student-t",1,1.60225067920375,21.7917165788098,0,1.49354866050795,4,NA,NA,NA,-100.551203194296,100.551203194296,220.794714080899,0,FALSE,FALSE
"Claude Opus 5","Student-t",2,1.79753286239863,20.3596043353143,1.57536686814213,1.48443205426827,4,NA,NA,NA,-100.477515224352,100.477515224352,223.691872553968,0,FALSE,FALSE
"GPT-5.6 Terra","Stochastic frontier",2,0.384366816282159,5.78201466854266,7.57935531131049,0.229863139297879,NA,2.35811534684174,1,0.424067466139566,-35.7098514835679,35.7098514835679,NA,0,FALSE,FALSE
"GPT-5.6 Terra","Spike + contention",2,0.621883688810983,5.66875070404015,7.76091475921591,0.229863139297879,NA,0.790160346305244,0.150541756385702,1.26556591288839,-23.9016240317038,23.9016240317038,NA,0,FALSE,FALSE
"GPT-5.6 Sol","Stochastic frontier",2,0.365913941004754,11.403527207433,10.5150312535429,0.330218286132028,NA,2.34109155681363,1,0.42715117103795,-18.4638023567059,18.4638023567059,NA,0,FALSE,FALSE
"GPT-5.6 Sol","Spike + contention",2,0.52316968062397,11.8297812873809,10.1697180829468,0.330218286132028,NA,0.833052925441708,0.154944208236985,1.20040392327987,-14.6739314986812,14.6739314986812,NA,0,FALSE,FALSE
"Claude Sonnet 5","Stochastic frontier",2,0.252411271959282,12.7341884080548,0,0.27771239862935,NA,2.53521226358529,1,0.394444289483597,-62.6650012946589,62.6650012946589,NA,0,TRUE,TRUE
"Claude Sonnet 5","Spike + contention",2,0.491225140346504,12.6559884862844,0,0.27771239862935,NA,1.4027190048845,0.261498384934546,0.712901155910654,-57.6600637661387,57.6600637661387,NA,0,TRUE,TRUE
"Claude Opus 5","Stochastic frontier",2,0.395179025881158,21.0514313669516,0.597781503935594,1.28357666079336,NA,0.601551011715474,1,1.66236940928459,-97.5192325579967,97.5192325579967,NA,0,FALSE,FALSE
"Claude Opus 5","Spike + contention",2,1.1172129262983,20.8153611917452,0.778165472677883,1.28357666079336,NA,0.440393188846358,0.43599990142775,2.27069815184829,-96.638666938007,96.638666938007,NA,0,FALSE,FALSE
