"model","input_tokens","beta_seconds_per_million_tokens","gamma_seconds_per_million_tokens_squared","derivative_seconds_per_million_tokens","additional_seconds_per_100k_tokens"
"GPT-5.6 Terra",1e+05,5.54257364645402,8.02646096536283,7.14786583952658,0.714786583952658
"GPT-5.6 Terra",272000,5.54257364645402,8.02646096536283,9.9089684116114,0.99089684116114
"GPT-5.6 Terra",5e+05,5.54257364645402,8.02646096536283,13.5690346118168,1.35690346118168
"GPT-5.6 Terra",9e+05,5.54257364645402,8.02646096536283,19.9902033841071,1.99902033841071
"GPT-5.6 Terra",1e+06,5.54257364645402,8.02646096536283,21.5954955771797,2.15954955771797
"GPT-5.6 Terra",2e+06,5.54257364645402,8.02646096536283,37.6484175079053,3.76484175079053
"GPT-5.6 Terra",5e+06,5.54257364645402,8.02646096536283,85.8071833000823,8.58071833000823
"GPT-5.6 Terra",1e+07,5.54257364645402,8.02646096536283,166.071792953711,16.6071792953711
"GPT-5.6 Sol",1e+05,11.5657043572341,10.415900440701,13.6488844453743,1.36488844453743
"GPT-5.6 Sol",272000,11.5657043572341,10.415900440701,17.2319541969755,1.72319541969755
"GPT-5.6 Sol",5e+05,11.5657043572341,10.415900440701,21.9816047979351,2.19816047979351
"GPT-5.6 Sol",9e+05,11.5657043572341,10.415900440701,30.3143251504959,3.03143251504959
"GPT-5.6 Sol",1e+06,11.5657043572341,10.415900440701,32.3975052386361,3.23975052386362
"GPT-5.6 Sol",2e+06,11.5657043572341,10.415900440701,53.2293061200382,5.32293061200382
"GPT-5.6 Sol",5e+06,11.5657043572341,10.415900440701,115.724708764244,11.5724708764244
"GPT-5.6 Sol",1e+07,11.5657043572341,10.415900440701,219.883713171255,21.9883713171255
"Claude Sonnet 5",1e+05,13.1184645251258,-0.20582264355797,13.0772999964142,1.30772999964142
"Claude Sonnet 5",272000,13.1184645251258,-0.20582264355797,13.0064970070302,1.30064970070302
"Claude Sonnet 5",5e+05,13.1184645251258,-0.20582264355797,12.9126418815678,1.29126418815678
"Claude Sonnet 5",9e+05,13.1184645251258,-0.20582264355797,12.7479837667214,1.27479837667214
"Claude Sonnet 5",1e+06,13.1184645251258,-0.20582264355797,12.7068192380098,1.27068192380098
"Claude Sonnet 5",2e+06,13.1184645251258,-0.20582264355797,12.2951739508939,1.22951739508939
"Claude Sonnet 5",5e+06,13.1184645251258,-0.20582264355797,11.0602380895461,1.10602380895461
"Claude Sonnet 5",1e+07,13.1184645251258,-0.20582264355797,9.00201165396636,0.900201165396636
"Claude Opus 5",1e+05,20.3596043353143,1.57536686814213,20.6746777089427,2.06746777089427
"Claude Opus 5",272000,20.3596043353143,1.57536686814213,21.2166039115836,2.12166039115836
"Claude Opus 5",5e+05,20.3596043353143,1.57536686814213,21.9349712034564,2.19349712034564
"Claude Opus 5",9e+05,20.3596043353143,1.57536686814213,23.1952646979701,2.31952646979701
"Claude Opus 5",1e+06,20.3596043353143,1.57536686814213,23.5103380715985,2.35103380715985
"Claude Opus 5",2e+06,20.3596043353143,1.57536686814213,26.6610718078828,2.66610718078828
"Claude Opus 5",5e+06,20.3596043353143,1.57536686814213,36.1132730167356,3.61132730167356
"Claude Opus 5",1e+07,20.3596043353143,1.57536686814213,51.8669416981569,5.18669416981569
