"model","target_tokens","total_input_tokens","block","ttft_seconds"
"GPT-5.6 Terra",850000,849998,1,10.929975106
"GPT-5.6 Terra",750000,749998,1,9.16136618
"GPT-5.6 Terra",375000,374998,1,4.645436046
"GPT-5.6 Terra",50000,49998,1,3.635438401
"GPT-5.6 Terra",550000,549998,1,6.127932301
"GPT-5.6 Terra",175000,174998,1,1.733089023
"GPT-5.6 Terra",275000,274998,1,3.521905376
"GPT-5.6 Terra",250000,249998,1,2.374597246
"GPT-5.6 Terra",100000,99998,1,1.11003038
"GPT-5.6 Terra",550000,549998,2,5.79556281
"GPT-5.6 Terra",50000,49998,2,0.968674105
"GPT-5.6 Terra",250000,249998,2,2.622470927
"GPT-5.6 Terra",750000,749998,2,9.395663604
"GPT-5.6 Terra",100000,99998,2,1.110335779
"GPT-5.6 Terra",375000,374998,2,3.701195943
"GPT-5.6 Terra",850000,849998,2,10.351291943
"GPT-5.6 Terra",175000,174998,2,1.645538374
"GPT-5.6 Terra",275000,274998,2,3.004352306
"GPT-5.6 Terra",250000,249998,3,3.230704081
"GPT-5.6 Terra",550000,549998,3,6.14686917
"GPT-5.6 Terra",850000,849998,3,10.733157525
"GPT-5.6 Terra",100000,99998,3,2.10441813
"GPT-5.6 Terra",375000,374998,3,4.222617817
"GPT-5.6 Terra",50000,49998,3,0.914153114
"GPT-5.6 Terra",175000,174998,3,1.943887912
"GPT-5.6 Terra",275000,274998,3,3.043357435
"GPT-5.6 Terra",750000,749998,3,9.836587457
"GPT-5.6 Terra",175000,174998,4,1.718404984
"GPT-5.6 Terra",250000,249998,4,2.176769941
"GPT-5.6 Terra",550000,549998,4,6.029358542
"GPT-5.6 Terra",275000,274998,4,4.390330018
"GPT-5.6 Terra",375000,374998,4,3.534261762
"GPT-5.6 Terra",50000,49998,4,0.958424133
"GPT-5.6 Terra",750000,749998,4,9.146914336
"GPT-5.6 Terra",100000,99998,4,1.546080964
"GPT-5.6 Terra",850000,849998,4,11.069632299
"GPT-5.6 Terra",275000,274998,5,2.562665354
"GPT-5.6 Terra",175000,174998,5,1.973776035
"GPT-5.6 Terra",550000,549998,5,6.17036368
"GPT-5.6 Terra",50000,49998,5,1.05812557
"GPT-5.6 Terra",850000,849998,5,10.88229875
"GPT-5.6 Terra",250000,249998,5,2.502422194
"GPT-5.6 Terra",750000,749998,5,9.569193846
"GPT-5.6 Terra",375000,374998,5,4.009747933
"GPT-5.6 Terra",100000,99998,5,1.685903656
"GPT-5.6 Terra",375000,374998,6,3.728185474
"GPT-5.6 Terra",750000,749998,6,10.723261039
"GPT-5.6 Terra",50000,49998,6,0.810757423
"GPT-5.6 Terra",250000,249998,6,2.403043386
"GPT-5.6 Terra",550000,549998,6,6.107322963
"GPT-5.6 Terra",175000,174998,6,1.755581771
"GPT-5.6 Terra",100000,99998,6,1.25578404
"GPT-5.6 Terra",275000,274998,6,2.821686054
"GPT-5.6 Terra",850000,849998,6,15.265473127
"GPT-5.6 Terra",375000,374998,7,3.698900715
"GPT-5.6 Terra",100000,99998,7,1.302580518
"GPT-5.6 Terra",750000,749998,7,9.481988826
"GPT-5.6 Terra",275000,274998,7,2.767291492
"GPT-5.6 Terra",550000,549998,7,5.877966916
"GPT-5.6 Terra",50000,49998,7,0.761796084
"GPT-5.6 Terra",250000,249998,7,3.363485421
"GPT-5.6 Terra",850000,849998,7,11.359717987
"GPT-5.6 Terra",175000,174998,7,1.713440604
"GPT-5.6 Terra",250000,249998,8,2.53337887
"GPT-5.6 Terra",750000,749998,8,9.511909138
"GPT-5.6 Terra",275000,274998,8,2.431625551
"GPT-5.6 Terra",175000,174998,8,1.816785572
"GPT-5.6 Terra",100000,99998,8,1.183965059
"GPT-5.6 Terra",550000,549998,8,6.181666151
"GPT-5.6 Terra",50000,49998,8,0.968427657
"GPT-5.6 Terra",850000,849998,8,11.292598925
"GPT-5.6 Terra",375000,374998,8,3.983420592
"GPT-5.6 Sol",250000,249998,1,3.619968659
"GPT-5.6 Sol",175000,174998,1,2.344174945
"GPT-5.6 Sol",850000,849998,1,17.887334591
"GPT-5.6 Sol",275000,274998,1,4.128992833
"GPT-5.6 Sol",50000,49998,1,2.292888813
"GPT-5.6 Sol",550000,549998,1,10.328270732
"GPT-5.6 Sol",275000,274998,2,4.202358709
"GPT-5.6 Sol",550000,549998,2,10.224309099
"GPT-5.6 Sol",175000,174998,2,3.140285706
"GPT-5.6 Sol",250000,249998,2,3.643622157
"GPT-5.6 Sol",50000,49998,2,1.140430352
"GPT-5.6 Sol",850000,849998,2,17.652660449
"GPT-5.6 Sol",850000,849998,3,17.794290919
"GPT-5.6 Sol",550000,549998,3,10.169860975
"GPT-5.6 Sol",275000,274998,3,5.885854047
